plan_id,role,requirement_id,field,genai_value,python_value,result,validation_status
11,Field Service Technician,NSF-R02-01,mandatory_coverage,Covered,Required,Match,Verified
11,Field Service Technician,NSF-R02-02,mandatory_coverage,Covered,Required,Match,Verified
11,Field Service Technician,NSF-R02-03,mandatory_coverage,Covered,Required,Match,Verified
11,Field Service Technician,NSF-R02-04,mandatory_coverage,Covered,Required,Match,Verified
11,Field Service Technician,NSF-R02-05,mandatory_coverage,Covered,Required,Match,Verified
11,Field Service Technician,NSF-R02-06,mandatory_coverage,Covered,Required,Match,Verified
11,Field Service Technician,NSF-R02-07,mandatory_coverage,Covered,Required,Match,Verified
11,Field Service Technician,NSF-R02-08,mandatory_coverage,Covered,Required,Match,Verified
11,Field Service Technician,NSF-R02-09,optional_coverage,Covered,Optional,Match,Verified
11,Field Service Technician,NSF-R02-10,optional_coverage,Covered,Optional,Match,Verified
11,Field Service Technician,NSF-R02-11,optional_coverage,Covered,Optional,Match,Verified
11,Field Service Technician,NSF-R02-12,optional_coverage,Covered,Optional,Match,Verified
11,Field Service Technician,NSF-R02-13,optional_coverage,Covered,Optional,Match,Verified
11,Field Service Technician,NSF-R02-14,optional_coverage,Covered,Optional,Match,Verified
11,Field Service Technician,NSF-R02-15,optional_coverage,Covered,Optional,Match,Verified
11,Field Service Technician,NSF-R02-16,optional_coverage,Covered,Optional,Match,Verified
12,Field Service Technician,NSF-R02-01,mandatory_coverage,Covered,Required,Match,Verified
12,Field Service Technician,NSF-R02-02,mandatory_coverage,Covered,Required,Match,Verified
12,Field Service Technician,NSF-R02-03,mandatory_coverage,Covered,Required,Match,Verified
12,Field Service Technician,NSF-R02-04,mandatory_coverage,Covered,Required,Match,Verified
12,Field Service Technician,NSF-R02-05,mandatory_coverage,Covered,Required,Match,Verified
12,Field Service Technician,NSF-R02-06,mandatory_coverage,Covered,Required,Match,Verified
12,Field Service Technician,NSF-R02-07,mandatory_coverage,Covered,Required,Match,Verified
12,Field Service Technician,NSF-R02-08,mandatory_coverage,Covered,Required,Match,Verified
12,Field Service Technician,NSF-R02-09,optional_coverage,Covered,Optional,Match,Verified
12,Field Service Technician,NSF-R02-10,optional_coverage,Covered,Optional,Match,Verified
12,Field Service Technician,NSF-R02-11,optional_coverage,Covered,Optional,Match,Verified
12,Field Service Technician,NSF-R02-12,optional_coverage,Covered,Optional,Match,Verified
12,Field Service Technician,NSF-R02-13,optional_coverage,Covered,Optional,Match,Verified
12,Field Service Technician,NSF-R02-14,optional_coverage,Covered,Optional,Match,Verified
12,Field Service Technician,NSF-R02-15,optional_coverage,Covered,Optional,Match,Verified
12,Field Service Technician,NSF-R02-16,optional_coverage,Covered,Optional,Match,Verified
13,Customer Success Coordinator,NSF-R01-01,mandatory_coverage,Covered,Required,Match,Verified
13,Customer Success Coordinator,NSF-R01-02,mandatory_coverage,Covered,Required,Match,Verified
13,Customer Success Coordinator,NSF-R01-03,mandatory_coverage,Covered,Required,Match,Verified
13,Customer Success Coordinator,NSF-R01-04,mandatory_coverage,Covered,Required,Match,Verified
13,Customer Success Coordinator,NSF-R01-05,mandatory_coverage,Covered,Required,Match,Verified
13,Customer Success Coordinator,NSF-R01-06,mandatory_coverage,Covered,Required,Match,Verified
13,Customer Success Coordinator,NSF-R01-07,mandatory_coverage,Covered,Required,Match,Verified
13,Customer Success Coordinator,NSF-R01-08,mandatory_coverage,Covered,Required,Match,Verified
13,Customer Success Coordinator,PROBE-R1,mandatory_coverage,Covered,Required,Match,Verified
13,Customer Success Coordinator,NSF-R01-09,optional_coverage,Covered,Optional,Match,Verified
13,Customer Success Coordinator,NSF-R01-10,optional_coverage,Covered,Optional,Match,Verified
13,Customer Success Coordinator,NSF-R01-11,optional_coverage,Covered,Optional,Match,Verified
13,Customer Success Coordinator,NSF-R01-12,optional_coverage,Covered,Optional,Match,Verified
13,Customer Success Coordinator,NSF-R01-13,optional_coverage,Covered,Optional,Match,Verified
13,Customer Success Coordinator,NSF-R01-14,optional_coverage,Covered,Optional,Match,Verified
13,Customer Success Coordinator,NSF-R01-15,optional_coverage,Covered,Optional,Match,Verified
13,Customer Success Coordinator,NSF-R01-16,optional_coverage,Covered,Optional,Match,Verified
1,Customer Success Coordinator,NSF-R01-01,mandatory_coverage,Covered,Required,Match,Verified
1,Customer Success Coordinator,NSF-R01-02,mandatory_coverage,Covered,Required,Match,Verified
1,Customer Success Coordinator,NSF-R01-03,mandatory_coverage,Covered,Required,Match,Verified
1,Customer Success Coordinator,NSF-R01-04,mandatory_coverage,Covered,Required,Match,Verified
1,Customer Success Coordinator,NSF-R01-05,mandatory_coverage,Covered,Required,Match,Verified
1,Customer Success Coordinator,NSF-R01-06,mandatory_coverage,Covered,Required,Match,Verified
1,Customer Success Coordinator,NSF-R01-07,mandatory_coverage,Covered,Required,Match,Verified
1,Customer Success Coordinator,NSF-R01-08,mandatory_coverage,Covered,Required,Match,Verified
1,Customer Success Coordinator,PROBE-R1,mandatory_coverage,Missing,Required,Missing,Requirement Missing
1,Customer Success Coordinator,NSF-R01-09,optional_coverage,Covered,Optional,Match,Verified
1,Customer Success Coordinator,NSF-R01-10,optional_coverage,Covered,Optional,Match,Verified
1,Customer Success Coordinator,NSF-R01-11,optional_coverage,Covered,Optional,Match,Verified
1,Customer Success Coordinator,NSF-R01-12,optional_coverage,Covered,Optional,Match,Verified
1,Customer Success Coordinator,NSF-R01-13,optional_coverage,Covered,Optional,Match,Verified
1,Customer Success Coordinator,NSF-R01-14,optional_coverage,Covered,Optional,Match,Verified
1,Customer Success Coordinator,NSF-R01-15,optional_coverage,Covered,Optional,Match,Verified
1,Customer Success Coordinator,NSF-R01-16,optional_coverage,Covered,Optional,Match,Verified
1,Customer Success Coordinator,-,source_traceability,(none),source_document_id required,Unsupported,Source Support Missing
1,Customer Success Coordinator,-,source_traceability,(none),source_document_id required,Unsupported,Source Support Missing
1,Customer Success Coordinator,-,source_traceability,(none),source_document_id required,Unsupported,Source Support Missing
